173.245.56.82 www.fotochudo.com - [17/Apr/2016:06:25:57 +0400] "GET /media/img/upload/photopages41.jpg HTTP/1.1" 200 411944 "-" "Googlebot-Image/1.0"
162.158.104.131 moygrad.kiev.ua - [17/Apr/2016:06:26:07 +0400] "GET /2016/01/16/tihij-uzhas-v-kieve-zazhivo-sgorela-93-letnyaya-starushka/ HTTP/1.1" 200 39194 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
162.158.91.88 moygrad.kiev.ua - [17/Apr/2016:06:26:16 +0400] "GET /news/ HTTP/1.1" 200 128423 "http://moygrad.kiev.ua/" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2471.2 Safari/537.36 OPR/33.0.1967.0 (Edition developer)"
162.158.151.75 moygrad.kiev.ua - [17/Apr/2016:06:26:16 +0400] "GET /tags/%D0%9A%D0%93%D0%93%D0%90 HTTP/1.1" 301 0 "-" "Mozilla/5.0 (Macintosh; Intel 112 Mac OS X 10.5; rv:15.0) Gecko/20100101 Firefox/15.0.1"
162.158.151.75 moygrad.kiev.ua - [17/Apr/2016:06:26:16 +0400] "GET /tags/%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F%20%D1%8D%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%B8%D1%87%D0%BA%D0%B0 HTTP/1.1" 301 0 "-" "Mozilla/5.0 (Macintosh; Intel 112 Mac OS X 10.5; rv:15.0) Gecko/20100101 Firefox/15.0.1"
162.158.90.100 moygrad.kiev.ua - [17/Apr/2016:06:26:17 +0400] "GET /tags/%D1%82%D0%BE%D1%80%D0%B3%D0%BE%D0%B2%D0%BB%D1%8F HTTP/1.1" 301 0 "-" "Mozilla/5.0 (Macintosh; Intel 112 Mac OS X 10.5; rv:15.0) Gecko/20100101 Firefox/15.0.1"
162.158.151.75 moygrad.kiev.ua - [17/Apr/2016:06:26:17 +0400] "GET /tags/%D0%9A%D0%93%D0%93%D0%90/ HTTP/1.1" 200 50985 "-" "Mozilla/5.0 (Macintosh; Intel 112 Mac OS X 10.5; rv:15.0) Gecko/20100101 Firefox/15.0.1"
162.158.151.75 moygrad.kiev.ua - [17/Apr/2016:06:26:17 +0400] "GET /tags/%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F%20%D1%8D%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%B8%D1%87%D0%BA%D0%B0/ HTTP/1.1" 200 45948 "-" "Mozilla/5.0 (Macintosh; Intel 112 Mac OS X 10.5; rv:15.0) Gecko/20100101 Firefox/15.0.1"
162.158.90.100 moygrad.kiev.ua - [17/Apr/2016:06:26:18 +0400] "GET /tags/%D1%82%D0%BE%D1%80%D0%B3%D0%BE%D0%B2%D0%BB%D1%8F/ HTTP/1.1" 200 46344 "-" "Mozilla/5.0 (Macintosh; Intel 112 Mac OS X 10.5; rv:15.0) Gecko/20100101 Firefox/15.0.1"
162.158.103.166 moygrad.kiev.ua - [17/Apr/2016:06:26:29 +0400] "GET /feeds/latest/ HTTP/1.1" 200 78321 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/11.04 Chromium/12.0.742.91 Chrome/12.0.742.91 Safari/534.30"
108.162.221.74 moygrad.kiev.ua - [17/Apr/2016:06:26:29 +0400] "GET /2013/06/07/na-22-stanciyah-kievskogo-metro-net-sistemy-evakuacii/4/ HTTP/1.1" 200 43380 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
